High,Volume,Low,Date,Close,Market Cap,Open,Name
0.006221,"865,808",0.006109,08/10/16,0.006194,"218,562,000",0.006147,Ripple
0.006181,"1,105,300",0.006003,08/09/16,0.006163,"214,298,000",0.006027,Ripple
0.00618,"722,628",0.006021,08/08/16,0.006027,"219,052,000",0.00616,Ripple
0.006337,"1,303,100",0.006156,08/07/16,0.006178,"225,317,000",0.006337,Ripple
0.00656,"2,164,530",0.006239,08/06/16,0.006337,"229,290,000",0.006448,Ripple
0.00645,"697,388",0.005813,08/05/16,0.006447,"206,997,000",0.005821,Ripple
0.00582,"1,007,960",0.005644,08/04/16,0.005816,"200,728,000",0.005646,Ripple
0.005701,"1,570,660",0.00563,08/03/16,0.005646,"202,199,000",0.005688,Ripple
0.005933,"1,553,690",0.005686,08/02/16,0.00569,"210,140,000",0.005911,Ripple
0.005942,"958,956",0.005904,08/01/16,0.005906,"211,241,000",0.005942,Ripple
0.006122,"648,205",0.005944,07/31/16,0.005945,"217,502,000",0.006118,Ripple
